Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount Till that date,Staking Reward Rate
1,2024-04-23,25.000000,0.002459,0.000000,10.00%
2,2024-05-23,25.002459,0.204938,0.002459,10.00%
3,2024-06-23,25.207397,0.213505,0.207397,10.00%
4,2024-07-23,25.420902,0.208368,0.420902,10.00%
5,2024-08-23,25.629271,0.217079,0.629271,10.00%
6,2024-09-23,25.846349,0.218917,0.846349,10.00%
7,2024-10-23,26.065266,0.213650,1.065266,10.00%
8,2024-11-23,26.278916,0.222581,1.278916,10.00%
9,2024-12-23,26.501497,0.217225,1.501497,10.00%
10,2025-01-23,26.718722,0.226306,1.718722,10.00%
11,2025-02-23,26.945028,0.228848,1.945028,10.00%
12,2025-03-23,27.173877,0.208457,2.173877,10.00%
13,2025-04-23,27.382334,0.232562,2.382334,10.00%
14,2025-05-23,27.614896,0.181577,2.614896,8.00%
15,2025-06-23,27.796473,0.188864,2.796473,8.00%
16,2025-07-23,27.985337,0.184013,2.985337,8.00%
17,2025-08-23,28.169350,0.191397,3.169350,8.00%
18,2025-09-23,28.360748,0.192698,3.360748,8.00%
19,2025-10-23,28.553445,0.187749,3.553445,8.00%
20,2025-11-23,28.741194,0.195283,3.741194,8.00%
21,2025-12-23,28.936477,0.190267,3.936477,8.00%
22,2026-01-23,29.126744,0.197902,4.126744,8.00%
23,2026-02-23,29.324646,0.199247,4.324646,8.00%
24,2026-03-23,29.523893,0.181188,4.523893,8.00%
